id,name,roll_number,course_id,famsup,higher,internet,address,activities,romantic,sup_paid,absentness,past_failures,study_time,health,Pjob,Pedu,famrel,Alc,unstructured_time
STU-BCEA61,Test Student 552,EE-1363,ee202,no,yes,yes,U,no,yes,no_yes,0,0,3,5,0,3,5,4,3
STU-12F3C4,Test Student 535,EE-7772,ee305,no,no,yes,U,no,no,no_no,4,1,2,3,3,2,2,4,2
STU-5D1C08,Test Student 396,EE-5520,ee305,no,no,yes,U,yes,yes,yes_no,2,0,3,5,0,1,1,2,4
STU-FAE163,Test Student 239,EE-9164,ee202,no,yes,yes,U,no,no,no_yes,28,3,1,1,1,3,3,4,4
STU-DC6A24,Test Student 268,EE-2873,ee305,no,yes,yes,U,yes,yes,yes_no,2,0,4,4,0,2,5,3,4
STU-8E9F3A,Test Student 138,EE-3549,ee305,yes,no,no,R,no,yes,no_no,10,0,3,4,1,4,4,2,3
STU-50E604,Test Student 345,EE-4097,ee305,yes,no,yes,U,yes,yes,no_no,6,0,2,4,1,1,1,1,1
STU-0FA2FB,Test Student 516,EE-9575,ee305,no,yes,no,U,no,yes,no_yes,8,1,2,3,1,4,2,3,2
STU-3EB187,Test Student 131,EE-8128,ee202,no,no,no,U,yes,no,yes_yes,2,0,3,5,3,2,3,3,3
STU-C56210,Test Student 692,EE-3980,ee305,no,yes,no,U,no,no,no_yes,1,0,4,5,0,1,1,1,2
STU-8713F2,Test Student 941,EE-2184,ee202,yes,no,yes,U,yes,yes,yes_yes,1,0,4,4,4,4,2,2,1
STU-967684,Test Student 738,EE-7255,ee305,yes,yes,yes,U,no,yes,no_no,0,0,4,5,3,1,3,1,4
STU-ED1EDC,Test Student 860,EE-1562,ee202,no,no,yes,R,no,no,no_yes,6,0,3,4,2,0,3,1,2
STU-BE602F,Test Student 751,EE-8563,ee305,no,no,no,R,no,no,no_yes,1,0,3,4,0,2,1,1,5
STU-DBCCA3,Test Student 896,EE-3489,ee202,yes,yes,yes,R,no,yes,no_yes,19,3,2,2,2,3,4,1,5
