id,name,major,year,attendance_rate,midterm_score,behavioral_score,missed_assignments,office_hours_visited,previous_gpa
STU-CSE-001,Student CSE 1,cse,Sophomore,0.749816047538945,41.23506965774815,80.59264473611897,2,1,2.517559963200034
STU-CSE-002,Student CSE 2,cse,Sophomore,0.9802857225639665,98.19459112971967,56.97469303260209,4,4,3.325044568707964
STU-CSE-003,Student CSE 3,cse,Sophomore,0.892797576724562,89.94655844802531,64.6072324267609,0,1,2.623422152178822
STU-CSE-004,Student CSE 4,cse,Sophomore,0.8394633936788146,52.74034664069657,68.31809216468459,1,3,3.0401360423556216
STU-CSE-005,Student CSE 5,cse,Sophomore,0.6624074561769746,50.909498032426036,72.8034992108518,3,3,3.0934205586865593
STU-CSE-006,Student CSE 6,cse,Sophomore,0.662397808134481,51.00427059120603,89.25879806965068,0,3,2.3697089110510543
STU-CSE-007,Student CSE 7,cse,Sophomore,0.6232334448672797,58.254534577572265,59.98368910791799,3,3,3.939169255529117
STU-CSE-008,Student CSE 8,cse,Sophomore,0.9464704583099741,71.48538589793426,75.71172192068059,1,4,3.550265646722229
STU-CSE-009,Student CSE 9,cse,Sophomore,0.8404460046972835,65.91670111852694,79.62072844310212,1,2,3.8789978831283785
STU-CSE-010,Student CSE 10,cse,Sophomore,0.8832290311184181,57.47374841188251,52.32252063599989,0,0,3.789654700855298
