id,name,major,year,attendance_rate,midterm_score,behavioral_score,missed_assignments,office_hours_visited,previous_gpa
STU-MNC-001,Student MNC 1,mnc,Sophomore,0.8391599915244341,56.85607058124285,85.34286719238085,4,4,2.6287119621526536
STU-MNC-002,Student MNC 2,mnc,Sophomore,0.9687496940092467,72.56176498949492,86.45035840204937,2,1,3.0171413823294055
STU-MNC-003,Student MNC 3,mnc,Sophomore,0.6353970008207678,48.45545349848576,88.56351733429729,3,2,3.8151329478521863
STU-MNC-004,Student MNC 4,mnc,Sophomore,0.6783931449676581,88.13181884524238,53.70223258670452,2,0,2.49858445829775
STU-MNC-005,Student MNC 5,mnc,Sophomore,0.6180909155642152,44.47303862078625,67.92328642721363,2,1,2.8207658460712595
STU-MNC-006,Student MNC 6,mnc,Sophomore,0.7301321323053057,99.21321619603104,55.79345297625649,0,1,3.5111022770860973
STU-MNC-007,Student MNC 7,mnc,Sophomore,0.7554709158757928,86.33468615779944,93.15517129377967,2,3,2.457596330983245
STU-MNC-008,Student MNC 8,mnc,Sophomore,0.7085396127095583,51.92294089205035,81.1649063413779,4,4,2.1539598196575858
STU-MNC-009,Student MNC 9,mnc,Sophomore,0.9314950036607718,40.331327027416144,66.54490124263246,2,2,2.5795029058275363
STU-MNC-010,Student MNC 10,mnc,Sophomore,0.7427013306774357,88.92768570729005,53.177917514301186,0,0,2.322442574508009
